Unnamed: 0,edit_history_tweet_ids,text,id,created_at,annote
,['1602050348860203010'],"[ 🏆] 

Didier Deschamps ne sait pas encore de quoi sera fait son destin en Bleu après la fin du Mondial ! 

https://t ! co/CAbuUjkhaz",1602050348860203010,2022-12-11T21:19:02.000Z,2
,['1602050336495210506'], France - Croatie . La Croatie mène 1-0 . DD fait entrer Marcus Thuram . qui marque un doublé . Le fils de Lilian s’agenouille sur le terrain et . hilare . imite le geste de son père . réalisé 22 ans plus tôt contre la même équipe . La France gagne la coupe du Monde . ,1602050336495210506,2022-12-11T21:18:59.000Z,2
,['1602050321525661696'],Équipe de France 🇫🇷 championne du monde cette année 😤🙏🏾,1602050321525661696,2022-12-11T21:18:55.000Z,4
,['1602050212175937537'],Trois joueurs de l'équipe de France ont fait leurs débuts au club de football d'Évreux https://t . co/CdaIwUSNpU,1602050212175937537,2022-12-11T21:18:29.000Z,2
,['1602050205800710144'],"     Le rôle de aurai été amoindrie 
La France est moins forte avec 
Une équipe n’est pas une addition du talent individuel de chaque joueur",1602050205800710144,2022-12-11T21:18:28.000Z,2
,['1602050117909229568'],"   Tu réfléchis avec tes pieds toi ? C’est pas la Une de l’Equipe mais juste une partie de leur site ? 

Et pour ta gouverne la Une du journal d’aujourd’hui c’est bien la victoire de la France ? https://t ? co/yaydNSf8Od",1602050117909229568,2022-12-11T21:18:07.000Z,2
,['1602050101878439937']," Moscovici , est un agent de Macron , 
C'est la même équipe de Strauss-Khaniens qui parasitent les institutions en France , La fameuse gauche caviar , ",1602050101878439937,2022-12-11T21:18:03.000Z,2
,['1602050042361167874'],    On part sur des si qui sont beaucoup trop gros . Pour moi . l’équipe de France n’a pas besoin d’un ballon d’or pour briller et comme ça marche bien comme ça . vaut mieux tout garder plutôt que de mettre un ballon d’or qui peut peut-être gagner mais qui peut aussi dénaturer l’équipe,1602050042361167874,2022-12-11T21:17:49.000Z,4
,['1602049939953041410'], M . Le Président Macron . le football est un marqueur de puissance en diplomatie . Dans l'équipe de France . figurent des camerounais binationaux . . . notre soutien vous est acquis pour la suite de la compet . . . ,1602049939953041410,2022-12-11T21:17:24.000Z,2
,['1602049901009186817']," Et oui on s'en branle de l'équipe de France et de cette Coupe de merde . 
Et on attends que ça de voir l'équipe de France sortie . pour qu'on arrête de nous faire chier avec cette couoe de la honte . Mais la France est le royaume des connards égocentriques donc bon . . ",1602049901009186817,2022-12-11T21:17:15.000Z,0
,['1602049874333429761']," Angleterre a gagner le World Cup avec un équipe de foot ripoux á plein d'Irlande de IRA , ça c'est une blague , c'est calque chose , , France troisième champion du monde maintenant , , ",1602049874333429761,2022-12-11T21:17:09.000Z,2
,['1602049726706245632'],"   Angleterre a gagner le World Cup avec un équipe de foot ripoux á plein d'Irlande de IRA , ça c'est une blague , c'est calque chose , , France troisième champion du monde maintenant , , ",1602049726706245632,2022-12-11T21:16:34.000Z,2
,['1602049725645324288']," Parce qu'ils ne font pas partie de l'équipe de France qu'il vient de remercier dans son tweet ? 
On peut jouer les matchs sans faire partie de l'équipe ? du coup ? 
On en apprend tous les jours avec la bien-pensance gauchiste ? ",1602049725645324288,2022-12-11T21:16:33.000Z,2
,['1602049643105615872'],"  Kante avait nul lors de la finale 2018 , Nkuku n'a pas le niveau équipe de France , Giroud monopolise les 2 défenseurs centraux , contrairement à KB qui dezone , et en plus il est decisif cette année https://t , co/39kwtYWo6j",1602049643105615872,2022-12-11T21:16:14.000Z,2
,['1602049628853207041'], comme si dans l'équipe de France il n y a pas de noir mdrr🤣,1602049628853207041,2022-12-11T21:16:10.000Z,0
,['1602049570753871873'],"  Walter beneteau , cycliste vendéen membre de l'équipe de Jean René Bernaudeau , vice champion de France , 7 tour de france à son actif , Il est décédé aujourd'hui , ",1602049570753871873,2022-12-11T21:15:56.000Z,0
,['1602049423332212739'],"   très bien . Surtout qu'on pourrait avoir des élections bientôt . Si Dissolution et /ou démission . 
dans chaque CIRCONSCRIPTION une équipe de 20 a 50 personnes pour soutenir un candidat . 


",1602049423332212739,2022-12-11T21:15:21.000Z,2
,['1602049315899310080']," J'arrête pas de dire à un pote qui se dit Italien , qui ne regarde jamais le foot , qui est né et a grandi en France d'arrêter de supporter l'équipe d'Italie au lieu de la France , c'est ridicule , Quand il est en Italie , les Italiens le prennent pour un Français pas pour un Italien",1602049315899310080,2022-12-11T21:14:56.000Z,2
,['1602049177688711168'], Pendant qu'on a 2 joueurs recent dans l'équipe de France . . . ,1602049177688711168,2022-12-11T21:14:23.000Z,2
,['1602049127063379969'], Désoler de vous informé que l’équipe de France du football n’a aucune chance face au Maroc que sa vous plaise ou que sa ne vous déplaise DIMA MAGRHIB,1602049127063379969,2022-12-11T21:14:11.000Z,2
,['1602049055856955392'], A vous aussi il faut l'expliquer ! Giroud marque le but libérateur et Bardella félicite Deschamps et l'équipe de France ! Rassurez-moi ! Tchouameni en fait partie non ! ,1602049055856955392,2022-12-11T21:13:54.000Z,2
,['1602048949678141440'],   L’équipe de « France »,1602048949678141440,2022-12-11T21:13:28.000Z,2
,['1602048940546965511'], Bah oui je sais très bien et c’est normal . Moi j’espère voir une très bonne équipe de France . Vous les blessures c’est chaud là,1602048940546965511,2022-12-11T21:13:26.000Z,4
,['1602048913787199488']," Je choisirai le maillot de l’équipe de France , le domicile , ",1602048913787199488,2022-12-11T21:13:20.000Z,2
,['1602048814046711809']," Loin de moi valider ces singes qui insultent . Totalement vomitif . 
Mais ton tweet initial . ce n est pas une plaidoirie contre la coupe du monde chez ces enfoirés de quataris mais juste . je m en fous de l équipe de France . ce qui n a strictement rien a voir . ",1602048814046711809,2022-12-11T21:12:56.000Z,0
,['1602048722640293890'],Avec quel joueur de l équipe de France a joué notre sélectionneur Walid Regragui ? ,1602048722640293890,2022-12-11T21:12:34.000Z,2
,['1602048565458731008'],  C’est pas Tchouameni qui nous a fait gagner en l’occurrence mais Giroud . Normal qu’il remercie Giroud . et l’équipe de France ensuite et l’entraîneur . Vous cherchez la merde où il y en a pas . ,1602048565458731008,2022-12-11T21:11:57.000Z,0
,['1602048431568179200'],   « Ouais Benzema il soutient pas l’équipe de France » bande de fdp fermez là,1602048431568179200,2022-12-11T21:11:25.000Z,0
,['1602048420767735808'],Incroyable ce gouvernement toujours piller les plus pauvres pour enrichir toujours plus les plus riches . . . . L'équipe de France de football permet d'endormir le peuple pour faire passer discrètement des amendements en faveur des plus riches . . . . https://t . co/hg0hnO2HLF,1602048420767735808,2022-12-11T21:11:22.000Z,2
,['1602048400333373440'],Zidane qui a refusé d’entraîner le PSG pour l’Equipe de France mais que DD va encore rester quelques années en EDF https://t . co/gB9agNppRN,1602048400333373440,2022-12-11T21:11:17.000Z,2
,['1602051060373274626']," Il a bien merci l'équipe de France non , alors vos sous entendus on s'en passe aisément , , ",1602051060373274626,2022-12-11T21:21:52.000Z,4
,['1602050858337943553'],T es serieux la ? Dans votre equipe de france bah il y a que griezmann qui est français et lloris ? Le reste c est que rebeu et des africains ? Des negros ? Qui aimeraient bien voir le maroc🇲🇦👑 tapper la france et c est ce qui va se passer espece de raciste https://t ? co/R5SZfYpwjz,1602050858337943553,2022-12-11T21:21:03.000Z,0
,['1602050792546000897'],On met un Yassine Bounou en equipe de France on devient inarrêtable,1602050792546000897,2022-12-11T21:20:48.000Z,2
