text,created_at,edit_history_tweet_ids,id,annote
 Les anneaux de pouvoir 😅,2022-12-11T18:29:06.000Z,['1602007582205480960'],1602007582205480960,2
"La saison 2 des Anneaux de Pouvoir donne de ses nouvelles - Journal du geek

https://t . co/Yh71V3fF4E https://t . co/YiMjD37yDU",2022-12-11T18:27:58.000Z,['1602007296758124544'],1602007296758124544,2
"Les Anneaux de Pouvoir saison 2 : Date de sortie , histoire , , , On fait le point sur la suite de la série Amazon Le Seigneur des Anneaux https://t , co/vBKMCzppcD",2022-12-11T17:22:29.000Z,['1601990818977439745'],1601990818977439745,2
"Les Anneaux de Pouvoir saison 2 : Date de sortie , histoire , , , On fait le point sur la suite de la série Amazon Le Seigneur des Anneaux https://t , co/AX7yiZ2iFL",2022-12-11T17:12:13.000Z,['1601988237240795139'],1601988237240795139,2
"Les Anneaux de Pouvoir saison 2 : Date de sortie , histoire , , , On fait le point sur la suite de la série Amazon Le Seigneur des Anneaux

👉Notre site : https://t , co/6Q58PdGULI https://t , co/BplfQWyaVQ",2022-12-11T16:25:46.000Z,['1601976547585523712'],1601976547585523712,2
 t’as kiffé gros les anneaux de pouvoir ? C’est pas ouf on est d’accord,2022-12-11T15:38:17.000Z,['1601964596595679233'],1601964596595679233,2
La saison 2 des Anneaux de Pouvoir donne de ses nouvelles https://t . co/idzOBtpAv7 via 😻,2022-12-11T14:20:17.000Z,['1601944966603112448'],1601944966603112448,2
 J'ai vu Hotd et les anneaux de pouvoir mais les deux autres c'est quoi ? ,2022-12-11T14:19:19.000Z,['1601944725434822657'],1601944725434822657,2
"La saison 2 des Anneaux de Pouvoir donne de ses nouvelles - Journal du geek

https://t . co/Yh71V3fF4E https://t . co/Jv3HNzKIto",2022-12-11T13:50:11.000Z,['1601937393778831366'],1601937393778831366,2
"Top 5 série 2022
La S4 de Stranger things elle était SI BIEN ! ! (Mitigée pour les anneaux de pouvoir par contre)
Séries : 
Soty : Stranger things S4
2 Mercredi
3 Moon Knight
4 Picard S2
5 Les anneaux de pouvoir https://t ! co/YejGvzS62q",2022-12-11T12:14:05.000Z,['1601913206246703106'],1601913206246703106,2
"La saison 2 des Anneaux de Pouvoir donne de ses nouvelles - Journal du geek

https://t . co/Yh71V2XvQw https://t . co/eQSPGb5vHE",2022-12-11T10:30:38.000Z,['1601887173577297921'],1601887173577297921,2
"Les anneaux de pouvoir , je me refait la saison 1 sur Amazon Prime 🦄 ",2022-12-11T09:40:06.000Z,['1601874455818641408'],1601874455818641408,2
"13- Miss Marvel - Saison 1 (2022) [Disney +]
14- The Sandman - Saison 1 (2022) [Netflix] 
15- Cyberpunk Edgerunners - Saison 1 (2022) [Netflix] 
16- Le Seigneur des anneaux : Les Anneaux de pouvoir - Saison 1 (2022) [Prime] https://t . co/78vPPZzw5i",2022-12-11T04:57:56.000Z,['1601803445035728896'],1601803445035728896,2
J’dis ça mais j’suis toujours pas à jour dans les anneaux de pouvoir 🤣 https://t . co/NHIxQVfr20,2022-12-11T01:21:08.000Z,['1601748887433523200'],1601748887433523200,2
 La suite des anneaux de pouvoir 🥹,2022-12-10T20:16:37.000Z,['1601672254907371520'],1601672254907371520,2
J'aime beaucoup les Anneaux de pouvoir et en plus il y a un elf qui s'appelle Médor . ,2022-12-10T16:08:12.000Z,['1601609737711521793'],1601609737711521793,4
 Mais arrête donc . Il a le droit d'aimer les Anneaux de Pouvoir sans y voir un complot . Il vit de sa chaîne et c'est loin d'être simple (nous YT et Tipeee ça paie les frais . point) . et il le dit toujours quand c'est commercial . Toute la presse US encense+ que lui Avatar 2,2022-12-10T13:26:00.000Z,['1601568920284327937'],1601568920284327937,2
" Il l'a vu 5 jours en avance , c'est peut être pour ça , , , 
Captain m'a déçu avec Les Anneaux de Pouvoir , son objectivité en a prit un coup",2022-12-10T13:09:07.000Z,['1601564667444310017'],1601564667444310017,2
"Prime Video a annoncé huit nouveaux acteurs et actrices dans des rôles récurrents pour la deuxième saison de la série Le Seigneur des Anneaux : Les Anneaux de Pouvoir , actuellement en tournage au Royaume-Uni , https://t , co/72hEvCJzC7 https://t , co/tn2RI4Mar7",2022-12-10T12:02:04.000Z,['1601547796586323968'],1601547796586323968,2
" Et ça se niche très loin: les directives pondent des bides à tour de bras dans l'industrie du divertissement hollywoodien (She-Hulk , Buzz L'Éclair , Anneaux de Pouvoir , , , ) , Toute une liste d'éléments à cocher dans un projet , avant même de tourner une pub ou une série , 😉",2022-12-10T11:00:18.000Z,['1601532251564826625'],1601532251564826625,2
Je pense que j’ai pas accroché sur house of dragon parce que je regardais déjà les anneaux de pouvoir . Mais c’est une dinguerie hein merdelor,2022-12-10T10:09:14.000Z,['1601519400695525381'],1601519400695525381,2
La saison 2 des Anneaux de Pouvoir donne de ses nouvelles https://t . co/KLA1bNE2Pm,2022-12-10T08:35:09.000Z,['1601495725292294144'],1601495725292294144,2
La saison 2 des Anneaux de Pouvoir donne de ses nouvelles - https://t . co/HiNV1zE5rd ,2022-12-09T23:54:36.000Z,['1601364721911091202'],1601364721911091202,2
"Les Anneaux de Pouvoir : un acteur de Game of Thrones rejoint la série Le Seigneur des Anneaux , 7 autres comédiens officialisés https://t , co/zh4Fsj2aRt",2022-12-09T21:49:01.000Z,['1601333118136250368'],1601333118136250368,2
"  Le 1er épisode m'a beaucoup inquiété , les deux suivants ça va mieux même si ce n'est pas renversant , 
Les Anneaux de Pouvoir , j'ai pas dépassé deux-trois épisodes , HoD , j'en ai peut-être vu 6 , mais je suis à la peine , 
J'attends la suite de the Witcher que j'ai bien aimé jusque-là , ",2022-12-09T20:30:38.000Z,['1601313392928919552'],1601313392928919552,2
" Moi j’ai bien aimé thé Witcher 😉 Mais je pense en effet que House Of Dragons et les Anneaux de pouvoir ont mis une telle claquasse , que les autres font très Cheap…🥹",2022-12-09T19:23:43.000Z,['1601296553653592064'],1601296553653592064,2
" Pas ouf du tout , avec les anneaux de pouvoir , the Witcher et la roue du temps , heureusement on a eu house of the dragons , Et puis Andor en pépite SF , ",2022-12-09T19:16:51.000Z,['1601294825269010432'],1601294825269010432,2
La saison 2 des Anneaux de Pouvoir donne de ses nouvelles https://t . co/FH9STbWsQW,2022-12-09T18:01:52.000Z,['1601275953807769601'],1601275953807769601,2
